,new_house_price,Is_samambaia_norte,n_rooms,has_condominium,value_condominium,has_parking,n_parking,house_size,house_hyperlink
102,479000.0,1,3,1,0.0,1,3,230.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-qr-410-esquina-1116720124
103,160000.0,1,1,1,0.0,1,4,170.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imovel-na-samambaia-norte-qr-429-1081870944
104,200000.0,1,2,0,0.0,1,2,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-na-samambaia-1116691720
105,240000.0,1,2,1,0.0,1,3,128.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-norte-qr-223-1116679160
106,210000.0,1,3,1,0.0,1,1,112.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otima-casa-na-samambaia--1034859051
107,330000.0,1,5,1,0.0,1,3,171.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-norte-qr-401-aceita-financiamento-1116617627
108,280000.0,1,3,1,0.0,1,3,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-com-3-quartos-1116609763
109,280000.0,1,3,1,0.0,1,3,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-com-3-quartos-1116609240
110,200000.0,0,2,0,0.0,1,2,126.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-na-samambaia-sul-com-2-quartos-escriturada-analisa-proposta-1116563005
111,330.0,1,2,0,0.0,1,3,140.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-na-samambaia-1116543967
112,250000.0,1,2,1,0.0,1,2,160.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-2-dormitorios-2-banheiros-2-vagas-1097030548
113,255000.0,1,3,1,400.0,1,1,60.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-norte-3-dormitorios-1-suite-1-banheiro-1097029861
114,200000.0,0,3,0,0.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-1116505775
115,400000.0,1,0,1,1.0,1,2,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-predio-em-samambaia-norte-aceito-carro-na-troca-1116468735
116,460000.0,0,3,1,1.0,1,4,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-samambaia-1116457317
117,240000.0,1,2,1,0.0,1,3,128.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-2-dormitorios-1-banheiro-3-vagas-1097029443
118,200000.0,1,2,0,0.0,1,2,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otima-casa-na-samambaia-1116423805
119,271000.0,1,2,1,0.0,1,1,52.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-norte-2-dormitorios-1-suite-2-banheiros-1097029995
120,180000.0,1,2,1,0.0,0,0,115.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-samambaia-sul-qr-502-1073030773
121,170000.0,1,3,0,0.0,1,2,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-samambaia-1116348862
122,125000.0,1,0,0,0.0,0,0,126.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lote-em-samambaia-norte-qr-425-escriturado-de-7-18-1116305532
123,130000.0,1,2,1,0.0,1,1,110.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-samambaia-norte-brasilia-df-1108508780
124,495000.0,0,3,1,0.0,1,5,317.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-sul-3-dormitorios-1-suite-2-banheiros-5-vagas-1097032266
125,45000.0,0,1,1,280.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-samambaia-507-1116211474
126,280000.0,1,3,1,0.0,1,3,135.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-3-dormitorios-1-banheiro-3-vagas-1097029238
127,128000.0,0,1,1,0.0,0,0,30.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-sul-1-dormitorio-1-suite-1-banheiro-1097030003
128,298000.0,1,3,1,0.0,1,3,130.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-qr-206-3-quartos-sendo-1-uma-suite-1018985475
