,house_price,house_region,n_bedrooms,has_condominium,value_condominium,has_garage,n_garage,house_size,house_hyperlink,house_category,n_bathrooms,zip_code,street_address,metro_distance,latitude,longitude,all_together
1686,330000.0,Norte,2,Com condomínio,150.0,Com garagem,1,56.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-apartamento-2-quartos-qd-203-samambaia-norte-56m-1098379315,Apartamentos,1,72341104.0,QR 203 Conjunto 4,3,-15.875859755334085, -48.09319603509419,QR 203- Samambaia Norte- Apartamentos
2154,250000.0,Norte,3,Com condomínio,400.0,Com garagem,1,60.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otimo-apartamento-de-3-quartos-residencial-villa-di-capri-1116656467,Apartamentos,1,72318210.0,QR 406 Conjunto 9-A,2,-15.864429527293499, -48.08242791463846,QR 406- Samambaia Norte- Apartamentos
2841,240000.0,Sul,2,Sem condomínio,0.0,Com garagem,1,50.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qn-308-exelente-apt-2qts-todo-planejado-e-lazer-completo-1109710291,Apartamentos,1,72306601.0,QR 308 Conjunto 1,2,-15.878436310255644, -48.07479242022789,QR 308- Samambaia Sul- Apartamentos
318,250000.0,Norte,2,Com condomínio,350.0,Com garagem,1,50.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/residencial-dubai-residencial-samambaia-norte-1093808365,Apartamentos,1,72318545.0,QN 404 Conjunto E Comércio,3,-15.866427096955162, -48.08553938970009,QR 404- Samambaia Norte- Apartamentos
859,330000.0,Norte,5,Com condomínio,0.0,Com garagem,3,171.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-com-171-metros-quadrados-com-5-quartos-em-samambaia-norte-brasilia-df-1116976940,Casas,2,72319000.0,QR 401,3,-15.869261345322371, -48.09402396752223,QR 401- Samambaia Norte- Casas
1061,245900.0,Sul,2,Com condomínio,420.0,Com garagem,1,54.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/2-quartos-com-suite-em-samambaia-sul-brasilia-df-916896590,Apartamentos,2,72300545.0,Quadra 301 Conjunto 8,3,,,Quadra 301- Samambaia Sul- Apartamentos
1283,400000.0,Norte,2,Com condomínio,0.0,Com garagem,2,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-casa-com-2-quartos-na-qr-402-samambaia-norte-1113010740,Casas,2,72318002.0,QR 402 Conjunto 2,2,-15.866307259725222, -48.08834855531934,QR 402- Samambaia Norte- Casas
2032,315000.0,Norte,3,Com condomínio,0.0,Com garagem,2,130.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-casa-escriturada-registrada-rua-comercial-qr-204-295mil-1018982726,Casas,2,72316080.0,QR 204,1,-15.869910407195048, -48.08299878139798,QR 204- Samambaia Norte- Casas
1980,209000.0,Sul,2,Com condomínio,0.0,Com garagem,1,43.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/pronto-para-morar-apartamento-2-quartos-com-subsidio-de-ate-47mil-1062575055,Apartamentos,1,72309300.0,QR 321,3,-15.896158968539169, -48.11739441518057,QR 321- Samambaia Sul- Apartamentos
1589,155000.0,Norte,3,Sem condomínio,0.0,Com garagem,2,115.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/residencial-brisas-do-parque-02-quartos-qs-431-samambaia-norte-1069609886,Casas,2,72329554.0,QS 431 Conjunto D Comércio,3,-15.893673743048726, -48.14385309685865,QR 431- Samambaia Norte- Casas
873,265000.0,Sul,5,Com condomínio,0.0,Com garagem,2,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imovel-na-qr-316-samambaia-sul-1116863356,Casas,5 ou mais,72308603.0,QR 316 Conjunto 3,2,-15.874245545749314, -48.065339030753876,QR 316- Samambaia Sul- Casas
2811,116850.0,Sul,1,Com condomínio,0.0,Com garagem,1,300.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/more-no-que-e-seu-venha-construir-a-sua-casa-lotes-a-prestacao-prox-ao-shopping-sul-de-1085535395,Casas,1,72302052.0,QN 104 Conjunto 2,3,-15.87411524884355, -48.081998606510666,QR 104- Samambaia Sul- Casas
2257,153800.0,Norte,2,Com condomínio,0.0,Sem garagem,0,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/ap-1e2-quartos-com-subsidio-de-ate-31mil-1058213972,Apartamentos,1,72321001.0,QR 407 Conjunto 1,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
516,449000.0,Norte,2,Com condomínio,0.0,Com garagem,1,121.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qn-402-samambaia-norte-casa-nova-pronta-ac-financiamento-1081136033,Casas,4,72318015.0,QR 402 Conjunto 15,2,-15.866307259725222, -48.08834855531934,QR 402- Samambaia Norte- Casas
1710,67900.0,Norte,2,Com condomínio,350.0,Com garagem,1,51.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apto-com-2-qtos-em-samambaia-norte-a-200m-da-principal-1096236499,Apartamentos,1,72320018.0,QR 410 Conjunto 15-A,2,-15.860899954620459, -48.07705924177919,QR 410- Samambaia Norte- Apartamentos
431,171000.0,Norte,2,Com condomínio,0.0,Sem garagem,0,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-otimos-precos-em-samambaia-1111751233,Apartamentos,1,72321000.0,QR 407,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
2899,289500.0,Norte,2,Sem condomínio,0.0,Com garagem,4,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qr-402-1109022989,,,,,3,,,
2766,398000.0,Norte,3,Sem condomínio,0.0,Com garagem,1,71.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/boulevard-das-palmeiras-lindo-apto--proximo-ao-metro-1110719715,,,,,3,,,
2294,29999.0,Sul,3,Com condomínio,0.0,Com garagem,3,126.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qr-315-agio-baratissimo-so-r-29-999-casa-de-3-quartos-desocupada-nao-exijo-transferencia-1115356763,Casas,1,72307600.0,QR 315,3,-15.891386139453608, -48.108849013894684,QR 315- Samambaia Sul- Casas
2919,220000.0,Sul,2,Com condomínio,388.0,Com garagem,1,53.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-apartamento-02-quartos-01-suite-todo-no-armario-aceita-financiamento-e-fgts-br-br-1077849049,Apartamentos,2,72310502.0,QS 320 Conjunto 2 Comércio,2,-15.874505597460054, -48.06054300742409,QR 320- Samambaia Sul- Apartamentos
2549,94000.0,Sul,3,Sem condomínio,0.0,Com garagem,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-casa-3-quartos-sendo-1-suite-excelente-localizacao-ponto-comercial-1113155171,Casas,2,72311800.0,QR 505,3,-15.8906866013751, -48.09376624204893,QR 505- Samambaia Sul- Casas
1290,470000.0,Sul,3,Sem condomínio,0.0,Com garagem,3,250.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-troco-para-casa-de-3-quartos-em-samambaia-1112953488,Casas,4,72312603.0,,3,,,
931,350000.0,Sul,2,Com condomínio,1082.0,Com garagem,2,92.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qs-103-apartamento-cobertura-linear-a-venda-com-92-44m-samambaia-sul-df-1065065725,Apartamentos,1,72301502.0,QS 103 Conjunto 2 Comércio,3,-15.87905182654271, -48.0941768312436,QR 103- Samambaia Sul- Apartamentos
498,85000.0,Norte,2,Com condomínio,0.0,Com garagem,2,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-casa-na-829-da-samambaia-85-mil-1098444838,Casas,1,72338660.0,QR 829,3,-15.887207722096905, -48.1459632906555,QR 829- Samambaia Norte- Casas
121,170000.0,Norte,3,Sem condomínio,0.0,Com garagem,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-samambaia-1116348862,Casas,1,72339007.0,QR 1029 Conjunto 7,3,-15.885009356251565, -48.14666755529745,QR 1029- Samambaia Norte- Casas
1681,79900.0,Norte,2,Com condomínio,400.0,Com garagem,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-qr-404-samambaia-trata-se-de-um-agio-968803735,Casas,1,72318113.0,QR 404 Conjunto 12,2,-15.86494717304739, -48.08639348082362,QR 404- Samambaia Norte- Casas
1033,180000.0,Norte,2,Com condomínio,0.0,Sem garagem,0,70.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-bem-localizada-samambaia-norte-1115636108,Casas,2,72316004.0,QR 206 Conjunto 4,1,-15.868219059688109, -48.08074115350348,QR 206- Samambaia Norte- Casas
2187,162890.0,Norte,2,Com condomínio,0.0,Sem garagem,0,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/facilidades-o-financiamento-na-entrada-veja-as-vantagens-pelo-programa-casa-verde-e-a-1048618334,Apartamentos,1,72321005.0,QR 407 Conjunto 5,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
1014,75000.0,Norte,2,Com condomínio,0.0,Com garagem,1,70.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-qr-225-samambaia-norte-1115874191,Casas,1,72345303.0,QR 225 Conjunto 3,3,-15.890770484521905, -48.126599871945565,QR 225- Samambaia Norte- Casas
10,310000.0,Norte,2,Com condomínio,1.0,Com garagem,1,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-402-casa-com-caragem-para-1-carro-sala-de-estar-sala-de-jantar-2-quartos-co-1049611067,Casas,1,72318032.0,QR 402 Conjunto 31,2,-15.866307259725222, -48.08834855531934,QR 402- Samambaia Norte- Casas
500,78000.0,Norte,3,Sem condomínio,0.0,Com garagem,1,70.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qr-412-samambaia-norte-agio-apartamento-03-quartos-samambaia-norte-df-nao-exige-tranfere-1097999117,Apartamentos,2,72320109.0,QR 412 Conjunto 8,2,-15.859811710860406, -48.074294258914115,QR 412- Samambaia Norte- Apartamentos
2646,175000.0,Sul,2,Sem condomínio,0.0,Com garagem,2,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-quitada-escriturada-1112137974,Casas,1,72310418.0,,3,,,
1831,370000.0,Norte,2,Com condomínio,0.0,Sem garagem,0,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casas-no-corumba-4-chacara-com-casa-2q-1s-piscina-lazer-1-500m2-1118582418,,,,,3,,,
2627,209000.0,Sul,2,Com condomínio,0.0,Com garagem,1,42.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-para-melhores-condicoes-1087095421,Apartamentos,1,72310000.0,QN 320,3,-15.874505597460054, -48.06054300742409,QR 320- Samambaia Sul- Apartamentos
2453,165800.0,Norte,2,Com condomínio,0.0,Sem garagem,0,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-qtsr-pelo-programa-casa-verde-e-amarela-1091205058,Apartamentos,1,72321000.0,QR 407,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
198,240000.0,Norte,2,Com condomínio,0.0,Com garagem,3,128.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-norte-qr-223-1111510798,,,,,3,,,
1155,171000.0,Norte,2,Com condomínio,0.0,Sem garagem,0,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-2-quartos-ate-100-financiado-samambaia-norte-1114914469,Apartamentos,1,72321000.0,QR 407,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
953,400000.0,Sul,3,Com condomínio,500.0,Com garagem,1,70.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/residencial-via-tropical-samambaia-3-quartos-1116309100,Apartamentos,2,72300543.0,Quadra 301 Conjunto 7,3,,,Quadra 301- Samambaia Sul- Apartamentos
72,450000.0,Sul,5,Com condomínio,0.0,Com garagem,1,180.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-a-venda-em-samambaia-1113024567,Casas,2,72302316.0,QR 110 Conjunto 16,1,-15.87134611859877, -48.074266769002605,QR 110- Samambaia Sul- Casas
1096,335000.0,Norte,2,Com condomínio,1.0,Com garagem,3,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-tem-120-metros-quadrados-com-2-quartos-em-samambaia-norte-brasilia-df-908262002,Casas,1,72320202.0,QR 414 Conjunto 2,2,-15.857542742568548, -48.07193634305087,QR 414- Samambaia Norte- Casas
15,160000.0,Sul,2,Com condomínio,0.0,Com garagem,2,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/samambaia-sul-qr-513-casa-2-quartos-lote-150m-quintal-grande-muito-bem-localizada-excel-1062608238,Casas,1,72315000.0,QR 513,3,-15.893083345529146, -48.10418527752632,QR 513- Samambaia Sul- Casas
1093,209000.0,Norte,2,Com condomínio,0.0,Com garagem,1,42.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-padrao-em-samambaia-sul-1085164489,Apartamentos,1,72321000.0,QR 407,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
1059,469000.0,Sul,4,Com condomínio,0.0,Com garagem,2,300.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-oportunidade-sobrado-04-quartos-com-terraco-na-quadra-308-samambaia-sul-1101593390,Casas,4,72306601.0,QR 308 Conjunto 1,2,-15.877479853609502, -48.07537646276072,QR 308- Samambaia Sul- Casas
971,110000.0,Sul,1,Com condomínio,0.0,Sem garagem,0,50.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qn-513-otimo-lote-comercial-50-m-quitado-escriturado-em-samambaia-sul-brasilia-df-1116166276,Casas,1,72315500.0,QN 513,3,-15.893083345529146, -48.10418527752632,QR 513- Samambaia Sul- Casas
1810,75000.0,Norte,2,Com condomínio,285.0,Com garagem,1,45.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-no-residencial-olimpyc-qs-421-1018969100,Apartamentos,1,72325550.0,QS 421,3,-15.885333361721543, -48.121331660618026,QR 421- Samambaia Norte- Apartamentos
1663,39900.0,Norte,2,Sem condomínio,0.0,Sem garagem,0,50.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-barato-apartamento-2-quartos-qs-427-samambaia-norte-nao-exige-transferencia-1100241524,Apartamentos,1,72327100.0,QR 427,3,-15.892481819386818, -48.136293329761465,QR 427- Samambaia Norte- Apartamentos
909,280000.0,Sul,5,Com condomínio,0.0,Com garagem,2,288.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-imovel-na-qr-515-em-samambaia-1116601377,Casas,5 ou mais,72315100.0,QR 515,3,-15.893833867742408, -48.107498734595225,QR 515- Samambaia Sul- Casas
185,235000.0,Norte,2,Sem condomínio,0.0,Sem garagem,0,156.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-1112536376,Casas,1,72327000.0,QR 425,3,-15.886719306891207, -48.12779199022573,QR 425- Samambaia Norte- Casas
