,house_category,n_bathrooms,CEP,Logradouro
390,Apartamentos,1,72302548,QS 112 Conjunto 8 Comércio
391,Apartamentos,1,72319500,
392,Apartamentos,1,72310100,QR 320
393,,,,
394,Apartamentos,1,72318300,QR 408
395,Casas,2,72331814,QR 615 Conjunto 12
396,Apartamentos,1,72302052,QN 104 Conjunto 2
397,Casas,1,72312600,QR 510
398,Casas,4,72321304,QR 413 Conjunto 4
399,,,,
400,Apartamentos,1,72338661,QR 829 Conjunto 1
401,Apartamentos,1,72314405,QR 518 Conjunto 3-A
402,Apartamentos,1,72325520,QS 419
403,Casas,,72320118,QR 412 Conjunto 16
404,,,,
405,Casas,1,72319230,QR 405 Conjunto 29
406,,,,
407,Casas,1,72333300,QR 623
408,Apartamentos,1,72311700,QN 505
409,Apartamentos,2,72300543,Quadra 301 Conjunto 7
410,Apartamentos,1,72321000,QR 407
411,Apartamentos,1,72310000,QN 320
412,Apartamentos,1,72300545,Quadra 301 Conjunto 8
413,Casas,3,72331100,
414,,,,
415,,,,
416,Apartamentos,1,72318300,QR 408
417,Apartamentos,2,72301562,QS 113 Conjunto B
418,Apartamentos,2,72304000,QR 120
419,Casas,2,72312814,QR 512 Conjunto 13
420,Casas,1,72315116,QR 515 Conjunto 16
421,Apartamentos,2,72316042,Quadra 202 Conjunto 2
422,Casas,2,72303109,QR 125 Conjunto 9
423,Apartamentos,1,72305303,QR 305 Conjunto 3
424,Casas,5 ou mais,72310400,QR 502
425,Apartamentos,1,72304520,QS 122
426,Apartamentos,3,72318230,QR 406 Conjunto 28
427,Apartamentos,2,72301562,QS 113 Conjunto B
428,,,,
429,Apartamentos,1,72310011,QN 320 Conjunto 11
430,Casas,2,72302300,QR 110
431,Apartamentos,1,72321000,QR 407
432,Apartamentos,1,72318595,QS 408 Conjunto E Comércio
433,Apartamentos,1,72321002,QR 407 Conjunto 2
434,Apartamentos,2,72319011,QR 401 Conjunto 11
435,Casas,3,72316027,QR 206 Conjunto 27
436,Casas,2,72311802,QR 505 Conjunto 2
437,Apartamentos,1,72320555,QS 412 Conjunto E Comércio
438,Apartamentos,1,72321001,QR 407 Conjunto 1
439,Apartamentos,2,72300653,Quadra 302 Conjunto 12
440,Apartamentos,2,72304109,QN 122 Conjunto 9
441,Apartamentos,1,72311704,QN 505 Conjunto 4
442,Casas,2,72301612,QR 113 Conjunto 12
443,Apartamentos,1,72305520,QS 307
444,Casas,2,72320004,QR 410 Conjunto 4
445,Apartamentos,1,72318580,QN 408
446,,,,
447,Apartamentos,2,72300545,Quadra 301 Conjunto 8
448,Casas,,72318109,
449,Apartamentos,2,72300653,Quadra 302 Conjunto 12
450,Apartamentos,1,72321012,QR 407 Conjunto 12
451,Casas,1,72310706,QR 504 Conjunto 5
452,Apartamentos,1,72302804,QR 118 Conjunto 3-A
453,Apartamentos,1,72321000,QR 407
454,Apartamentos,1,72310000,QN 320
455,Casas,1,72325219,QR 423 Conjunto 17
456,Casas,2,72310406,QR 502 Conjunto 6
457,Casas,1,72331015,QR 601 Conjunto 15
458,Apartamentos,1,72320018,QR 410 Conjunto 15-A
459,Apartamentos,1,72339036,QR 1031 Conjunto 6
460,Apartamentos,1,72308006,QN 312 Conjunto 6
461,Apartamentos,1,72306408,QN 308 Conjunto 8
462,Casas,1,72310423,QR 502 Conjunto 23
463,Apartamentos,1,72320540,QN 412
464,Casas,1,72311301,QR 501 Conjunto 1
465,Apartamentos,2,72320302,QI 416 Conjunto 2
466,Apartamentos,1,72325552,QS 421 Conjunto B Comércio
467,Apartamentos,2,72300531,Quadra 301 Conjunto 1
468,Apartamentos,1,72306408,QN 308 Conjunto 8
469,Casas,1,72318550,QS 404
470,Casas,2,72322400,QR 610
471,Casas,3,72322001,QR 602 Conjunto 1
472,Apartamentos,1,72310000,QN 320
473,Casas,3,72319118,QR 403 Conjunto 17
474,Apartamentos,1,72325100,QR 421
475,Casas,1,72343151,QN 213 Conjunto 1
476,Casas,1,72307310,QR 313 Conjunto 10
477,Casas,1,72301001,QR 103 Conjunto 1
478,Casas,4,72320216,QR 414 Conjunto 12
479,Apartamentos,1,72305500,QS 303
480,,,,
481,,,,
482,Casas,3,72322200,QR 606
483,Apartamentos,1,72302804,QR 118 Conjunto 3-A
484,Apartamentos,1,72302560,QS 116
485,Apartamentos,1,72300647,Quadra 302 Conjunto 9
486,Apartamentos,1,72314401,
487,Apartamentos,1,72302203,QR 108 Conjunto 3
488,Apartamentos,1,72308300,QR 314
489,Casas,1,72314107,QR 514 Conjunto 7
490,Casas,1,72322002,QR 602 Conjunto 2
491,Casas,1,72319003,QR 401 Conjunto 3
492,Apartamentos,1,72310100,QR 320
493,Apartamentos,2,72331509,QS 601 Conjunto I Comércio
494,Apartamentos,2,72302562,
495,Apartamentos,1,72318327,QR 408 Conjunto 24-A
496,Casas,1,72314320,QR 516 Conjunto 17
497,Casas,1,72318000,QR 402
498,Casas,1,72338660,QR 829
499,Casas,1,72323009,QR 415 Conjunto 9
500,Apartamentos,2,72320109,QR 412 Conjunto 8
501,Apartamentos,2,72300530,Quadra 301
502,Casas,1,72327000,QR 425
503,Apartamentos,1,72302532,QS 110 Conjunto 2 Comércio
504,Casas,2,72311800,QR 505
505,Casas,1,72341110,QR 203 Conjunto 10
506,Apartamentos,1,72301560,QS 113
507,Casas,1,72316219,QR 210 Conjunto 18
508,Apartamentos,2,72305401,QN 307 Conjunto 1
509,,,,
510,Casas,2,72322000,QR 602
511,Casas,3,72305300,QR 305
512,Casas,1,72321300,QR 413
513,Casas,1,72301600,QR 113
514,Apartamentos,1,72322570,QN 614
515,Apartamentos,1,72318560,QN 406
516,Casas,4,72318015,QR 402 Conjunto 15
517,Casas,1,72322602,QR 612 Conjunto 2
518,Apartamentos,3,72319500,QN 401
519,Casas,3,72343150,QN 213
520,Apartamentos,2,72300533,Quadra 301 Conjunto 2
521,Casas,2,72315200,QR 517
522,Apartamentos,1,72325552,QS 421 Conjunto B Comércio
523,Casas,2,72302009,QR 104 Conjunto 8
524,Apartamentos,1,72309300,QR 321
525,Casas,5 ou mais,72305300,QR 305
526,Apartamentos,1,72305501,QS 303 Conjunto 1 Comércio
527,Apartamentos,1,72301562,QS 113 Conjunto B
528,Casas,2,72302811,
529,Casas,2,72308810,QR 318 Conjunto 9
530,Casas,1,72318540,QN 404
531,Casas,2,72341201,QR 205 Conjunto 1
532,Apartamentos,3,72310011,QN 320 Conjunto 11
533,Casas,1,72304011,QR 120 Conjunto 11
534,Casas,2,72303204,QR 127 Conjunto 4
535,,,,
536,Casas,2,72312600,QR 510
537,Apartamentos,2,72315200,QR 517
538,Casas,2,72305810,QR 309 Conjunto 9
539,Apartamentos,1,72318504,QN 402 Conjunto D Comércio
540,Casas,2,72310200,Setor de Mansões Sudeste
541,Casas,2,72320109,QR 412 Conjunto 8
542,Apartamentos,1,72308100,QR 312
543,Apartamentos,1,72308105,QR 312 Conjunto 4-A
